"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Sandstorm Points","Hatch Panel Points","Cargo Points","Hab Points","Foul Points","Average Score","Best Match","Worst Match"
"100","b'The WildHats'","13","15","38.46","12.0","0.0","12.92","11.08","-3.15","46.92","<a href=https://www.thebluealliance.com/match/2019casf_qm7 target='_blank'>qm7</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm48 target='_blank'>qm48</a>"
"115","b'MVRT'","16","19","62.5","12.75","0.0","25.31","13.69","-3.19","64.31","<a href=https://www.thebluealliance.com/match/2019casf_sf2m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm7 target='_blank'>qm7</a>"
"1700","b'Gatorbotics'","13","19","61.54","13.38","0.0","20.77","11.77","-2.23","59.92","<a href=https://www.thebluealliance.com/match/2019casf_qm52 target='_blank'>qm52</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm20 target='_blank'>qm20</a>"
"2144","b'Gators'","11","10","36.36","9.82","0.0","15.0","9.27","-1.36","39.45","<a href=https://www.thebluealliance.com/match/2019casf_qm19 target='_blank'>qm-19</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm40 target='_blank'>qm40</a>"
"253","b'Boba Bots'","14","15","50.0","12.86","0.0","20.14","9.86","-4.21","53.5","<a href=https://www.thebluealliance.com/match/2019casf_qm30 target='_blank'>qm30</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm71 target='_blank'>qm71</a>"
"254","b'The Cheesy Poofs'","17","29","88.24","14.47","0.0","25.41","17.82","-1.59","76.12","<a href=https://www.thebluealliance.com/match/2019casf_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm41 target='_blank'>qm41</a>"
"2551","b'Penguin Empire'","13","17","53.85","10.15","0.0","23.77","11.54","-1.38","57.69","<a href=https://www.thebluealliance.com/match/2019casf_qm65 target='_blank'>qm65</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm44 target='_blank'>qm44</a>"
"3045","b'The Gear Gremlins'","13","17","38.46","12.23","0.0","15.0","10.85","-3.69","45.92","<a href=https://www.thebluealliance.com/match/2019casf_qm64 target='_blank'>qm64</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm8 target='_blank'>qm8</a>"
"3390","b'ANATOLIAN EAGLEBOTS'","13","16","46.15","12.92","0.0","19.15","10.85","-2.38","53.08","<a href=https://www.thebluealliance.com/match/2019casf_qm37 target='_blank'>qm37</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm44 target='_blank'>qm44</a>"
"3880","b'Tiki Techs'","13","17","38.46","13.85","0.0","15.0","9.92","-1.46","51.08","<a href=https://www.thebluealliance.com/match/2019casf_qm29 target='_blank'>qm29</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm13 target='_blank'>qm13</a>"
"4159","b'CardinalBotics'","18","14","50.0","12.67","0.0","18.67","11.5","-2.5","53.5","<a href=https://www.thebluealliance.com/match/2019casf_qm65 target='_blank'>qm65</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm31 target='_blank'>qm31</a>"
"4186","b'Alameda Aztechs'","11","16","45.45","12.82","0.0","12.27","12.27","-3.91","50.18","<a href=https://www.thebluealliance.com/match/2019casf_qm58 target='_blank'>qm58</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm5 target='_blank'>qm5</a>"
"4669","b'Galileo Robotics'","11","10","45.45","12.55","0.0","10.64","7.64","-0.55","40.73","<a href=https://www.thebluealliance.com/match/2019casf_qm5 target='_blank'>qm5</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm25 target='_blank'>qm25</a>"
"4765","b'PWRUP'","11","17","72.73","11.45","0.0","9.55","9.27","-0.82","43.73","<a href=https://www.thebluealliance.com/match/2019casf_qm6 target='_blank'>qm6</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm75 target='_blank'>qm75</a>"
"4904","b'Bot-Provoking'","11","8","27.27","12.82","0.0","14.73","8.45","-2.18","45.18","<a href=https://www.thebluealliance.com/match/2019casf_qm45 target='_blank'>qm45</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm35 target='_blank'>qm35</a>"
"4973","b'Gator Gears'","11","16","54.55","12.55","0.0","13.64","10.36","-3.09","47.27","<a href=https://www.thebluealliance.com/match/2019casf_qm72 target='_blank'>qm72</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm36 target='_blank'>qm36</a>"
"4990","b'Gryphon Robotics'","13","8","23.08","12.0","0.0","12.69","10.62","-1.38","50.46","<a href=https://www.thebluealliance.com/match/2019casf_qm72 target='_blank'>qm72</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm8 target='_blank'>qm8</a>"
"5419","b'Natural Disasters'","13","16","46.15","10.38","0.0","14.54","9.69","-0.46","49.54","<a href=https://www.thebluealliance.com/match/2019casf_qm42 target='_blank'>qm42</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm25 target='_blank'>qm25</a>"
"5499","b'The Bay Orangutans'","18","19","61.11","11.83","0.0","23.67","12.67","-2.17","60.11","<a href=https://www.thebluealliance.com/match/2019casf_qf4m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm2 target='_blank'>qm2</a>"
"5507","b'Robotic Eagles'","16","24","56.25","11.81","0.0","23.25","14.62","-3.19","62.0","<a href=https://www.thebluealliance.com/match/2019casf_qm38 target='_blank'>qm38</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm9 target='_blank'>qm9</a>"
"5700","b'SOTA Cyberdragons'","17","13","64.71","12.88","0.0","21.71","12.53","-3.59","63.47","<a href=https://www.thebluealliance.com/match/2019casf_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm43 target='_blank'>qm43</a>"
"5924","b'The Cat Machine'","11","9","27.27","9.27","0.0","13.64","8.18","-8.91","41.27","<a href=https://www.thebluealliance.com/match/2019casf_qm11 target='_blank'>qm-11</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm38 target='_blank'>qm38</a>"
"5940","b'B.R.E.A.D.'","13","15","38.46","10.85","0.0","14.31","9.92","-4.0","51.08","<a href=https://www.thebluealliance.com/match/2019casf_qm52 target='_blank'>qm52</a>","<a href=https://www.thebluealliance.com/match/2019casf_qm3 target='_blank'>qm3</a>"
