"Team Number","Team Name","Number of Matches","Ranking Points","Win Percent","Sandstorm Points","Hatch Panel Points","Cargo Points","Hab Points","Foul Points","Average Score","Best Match","Worst Match"
"1108","b'Panther Robotics'","12","7","16.67","11.75","4.0","12.5","8.5","-1.92","38.83","<a href=https://www.thebluealliance.com/match/2019ksla_qm29 target='_blank'>qm29</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm43 target='_blank'>qm43</a>"
"1710","b'The Ravonics Revolution'","16","15","43.75","10.5","8.5","20.81","8.06","-1.38","50.12","<a href=https://www.thebluealliance.com/match/2019ksla_sf2m1 target='_blank'>sf1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm4 target='_blank'>qm4</a>"
"1730","b'Team Driven'","18","24","66.67","11.83","6.0","19.33","14.67","-2.22","56.67","<a href=https://www.thebluealliance.com/match/2019ksla_qf3m1 target='_blank'>qf1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm10 target='_blank'>qm10</a>"
"1764","b'Liberty Robotics'","12","8","16.67","13.0","4.33","13.0","9.0","-3.17","44.0","<a href=https://www.thebluealliance.com/match/2019ksla_qm34 target='_blank'>qm34</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm56 target='_blank'>qm56</a>"
"1825","b'The Cyborgs'","16","20","62.5","10.88","8.75","23.62","8.06","-3.81","52.81","<a href=https://www.thebluealliance.com/match/2019ksla_sf2m1 target='_blank'>sf1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm34 target='_blank'>qm34</a>"
"1827","b'THE HIVE'","16","20","62.5","12.75","5.5","17.25","12.94","-3.38","51.69","<a href=https://www.thebluealliance.com/match/2019ksla_qf1m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm4 target='_blank'>qm4</a>"
"1986","b'Team Titanium'","16","29","68.75","11.81","9.88","22.12","18.19","-1.88","65.56","<a href=https://www.thebluealliance.com/match/2019ksla_qm34 target='_blank'>qm34</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm9 target='_blank'>qm9</a>"
"1987","b'Broncobots'","14","20","50.0","12.21","6.43","17.36","10.71","-1.71","50.93","<a href=https://www.thebluealliance.com/match/2019ksla_qm62 target='_blank'>qm62</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm2 target='_blank'>qm2</a>"
"1994","b'Quixote'","12","8","8.33","10.25","5.5","13.5","11.0","-6.83","42.33","<a href=https://www.thebluealliance.com/match/2019ksla_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm8 target='_blank'>qm8</a>"
"1997","b'Stag Robotics'","14","18","42.86","11.79","6.86","13.5","13.5","-3.07","47.0","<a href=https://www.thebluealliance.com/match/2019ksla_qm45 target='_blank'>qm45</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm25 target='_blank'>qm25</a>"
"2001","b'HERMES'","14","12","28.57","11.36","5.29","13.07","11.14","-4.0","43.0","<a href=https://www.thebluealliance.com/match/2019ksla_qm23 target='_blank'>qm23</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm56 target='_blank'>qm56</a>"
"2220","b'Blue Twilight '","14","20","57.14","12.64","6.71","19.5","11.36","-4.29","53.71","<a href=https://www.thebluealliance.com/match/2019ksla_qm32 target='_blank'>qm32</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm24 target='_blank'>qm24</a>"
"2345","b'Animal Control'","12","17","58.33","11.5","6.33","14.5","9.75","-1.83","45.92","<a href=https://www.thebluealliance.com/match/2019ksla_qm28 target='_blank'>qm28</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm6 target='_blank'>qm6</a>"
"2457","b'The Law'","12","17","41.67","13.0","4.0","17.75","10.0","-4.08","47.5","<a href=https://www.thebluealliance.com/match/2019ksla_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm27 target='_blank'>qm27</a>"
"2560","b'RoboDog'","18","15","50.0","12.5","6.44","20.5","12.33","-2.67","57.56","<a href=https://www.thebluealliance.com/match/2019ksla_qf3m1 target='_blank'>qf1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm35 target='_blank'>qm35</a>"
"3160","b'F. R. O. G. - FIRST Robotics Organization of Grove'","14","14","42.86","12.43","3.86","14.79","10.71","-0.86","47.29","<a href=https://www.thebluealliance.com/match/2019ksla_qm28 target='_blank'>qm28</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm13 target='_blank'>qm13</a>"
"3184","b'Blaze Robotics'","14","11","28.57","13.5","4.71","12.43","10.29","-3.29","42.71","<a href=https://www.thebluealliance.com/match/2019ksla_qm33 target='_blank'>qm33</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm3 target='_blank'>qm3</a>"
"3284","b'Camdenton  LASER 3284'","14","12","28.57","10.71","8.0","17.79","8.36","-10.21","48.0","<a href=https://www.thebluealliance.com/match/2019ksla_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm57 target='_blank'>qm57</a>"
"3465","b'The Omega Factor'","12","8","25.0","10.0","4.33","16.5","8.75","-0.75","40.33","<a href=https://www.thebluealliance.com/match/2019ksla_qm4 target='_blank'>qm4</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm10 target='_blank'>qm-10</a>"
"4400","b'CERBOTICS'","14","20","57.14","11.36","6.71","22.29","11.57","-4.43","53.43","<a href=https://www.thebluealliance.com/match/2019ksla_qm52 target='_blank'>qm52</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm22 target='_blank'>qm22</a>"
"4522","b'Team SCREAM'","16","14","56.25","11.81","9.75","21.0","11.81","-3.12","58.81","<a href=https://www.thebluealliance.com/match/2019ksla_qf3m1 target='_blank'>qf-1</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm32 target='_blank'>qm32</a>"
"4786","b'Nicolet FEAR'","14","16","42.86","13.07","4.14","13.29","11.14","-2.57","43.21","<a href=https://www.thebluealliance.com/match/2019ksla_qm67 target='_blank'>qm67</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm6 target='_blank'>qm6</a>"
"5013","b'Trobots'","14","13","35.71","11.14","4.86","15.64","9.43","-4.36","44.29","<a href=https://www.thebluealliance.com/match/2019ksla_qm42 target='_blank'>qm42</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm13 target='_blank'>qm13</a>"
"5082","b'Northmen Robotics'","12","8","16.67","11.25","3.5","11.75","10.5","-1.75","39.33","<a href=https://www.thebluealliance.com/match/2019ksla_qm55 target='_blank'>qm55</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm66 target='_blank'>qm66</a>"
"5126","b'Electromagnetic Panthers (E.M.P.)'","18","13","61.11","13.67","4.89","15.67","12.33","-2.72","50.89","<a href=https://www.thebluealliance.com/match/2019ksla_sf1m2 target='_blank'>sf2</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm22 target='_blank'>qm22</a>"
"5141","b'GRIFFINITE'","12","18","58.33","12.75","4.5","14.75","10.75","-1.0","47.33","<a href=https://www.thebluealliance.com/match/2019ksla_qm62 target='_blank'>qm62</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm54 target='_blank'>qm54</a>"
"5801","b'CTC Inspire'","16","30","81.25","14.06","8.5","20.81","16.5","-1.5","62.5","<a href=https://www.thebluealliance.com/match/2019ksla_qf1m2 target='_blank'>qf2</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm3 target='_blank'>qm3</a>"
"6359","b'TechKnow Difficulties'","14","13","35.71","11.14","6.0","19.29","8.14","-2.14","45.21","<a href=https://www.thebluealliance.com/match/2019ksla_qm71 target='_blank'>qm71</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm63 target='_blank'>qm63</a>"
"6424","b'Stealth Panther Robotics'","14","20","42.86","11.36","6.71","15.86","13.93","-1.29","50.93","<a href=https://www.thebluealliance.com/match/2019ksla_qm32 target='_blank'>qm32</a>","<a href=https://www.thebluealliance.com/match/2019ksla_qm66 target='_blank'>qm66</a>"
